,DEMOGRAPHICS,,,,,,,,,,,,,SUPERVISING WITHIN YOUR SCOPE,,,,,SUPERVISORY VOLUME,,,,,SUPERVISORY DELEGATION,,DESIGNING EFFECTIVE TRAINING,,,,,,,,,,COMMUNICATION OF SUPERVISION CONDITIONS,,,,,,,,PROVIDING FEEDBACK TO SUPERVISEES,,,,,,,,EVALUATING THE EFFECTS OF SUPERVISION,,,,,SQR
Timestamp,Years certified,Years supervisor,Area of study,Certification,Job classification,Place of employment,Region of service,Mode of supervision,Supervision format,Supervision training,Supervisee Exam Pass Rate,Supervisee Attrition (last 12.5 months),Supervisory Resources Available,Literature review,Attend conferences,Peer review,Mentorship,Study groups,Arrival time,Keep appointments,Clear schedule,4 Contacts per Month,60% Unrestricted Activities,Confirm required skill set,Practice Skill Set,Conduct Group Supervision,Group Supervision Activities,Include Ethics,Take Baseline,Discuss Feedback,Behavior Skills Training,Performance Feedback,Schedule Observations,Model Resource Seeking,Use BST to teach case presentation,Send Agenda,Standing Appointments,Written Supervision Contracts,Review Supervision Contract,Send Meeting Notes,Return Communications Within 48 Hours,Discourage Distractions During Meetings,Termination Conditions,Discuss Performance Expectations,Address Performance Issues,Observe Supervisee Body Language,Feedback on Supervisee Interpersonal Skills,Maintain Positive Rapport,Assign Time Management Exercise,Instruct on Areas of Need,Allow Practice with Immediate Feedback,Self-assess interpersonal Skills,Evaluate Supervision Effectiveness,Detect Barriers to Supervision,Continue Professional Relationship,Peer Evaluation,SQR
3/6/2018 15:25:49,5,2,Education,BCBA,Behavior analyst,Home-based,Southeast,Individual private practice,"Individual fieldwork, Group fieldwork","BCBA 8 hours competency-based training, Internet based continuing education",Greater than 75%,Less than 50%,"Protected office planning time, Administrative assistance, Training on supervision practices",2,2,1,3,1,5,5,5,3,3,3,3,3,3,3,4,3,5,2,5,2,3,2,5,5,5,3,5,3,3,4,4,4,3,5,1,3,4,3,3,3,4,2,3.33
3/6/2018 15:31:34,15,5,Psychology,BCBA-D,Psychologist,Clinic,Northeast,University,Intensive practicum,"Conferences or workshops, Individual mentoring",50 - 75%,50%,"Protected office planning time, Training on supervision practices, Monetary compensation",5,5,5,3,4,5,5,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,4,3,4.70
3/6/2018 15:35:12,2,1,Behavior analysis,BCBA,Behavior analyst,School,West,Individual private practice,Individual fieldwork,BCBA 8 hours competency-based training,50 - 75%,75%,Training on supervision practices,2,1,1,1,1,3,3,2,3,1,1,2,3,3,2,1,1,3,2,2,1,2,1,2,4,3,1,4,3,1,2,1,1,1,4,3,2,1,1,1,1,2,2,1.91
3/6/2018 15:52:07,10,10,Psychology,BCBA,Behavior analyst,Home-based,Northeast,Agency,Individual fieldwork,BCBA 8 hours competency-based training,50 - 75%,Less than 50%,Training on supervision practices,3,4,2,3,1,5,5,3,1,1,4,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,2,4,3,5,5,5,5,3,1,4,5,1,3.95
3/8/2018 14:47:42,4,1,Counseling,BCBA-D,Counselor,Clinic,West,Agency,Intensive practicum,"BCBA 8 hours competency-based training, Institution based course work",Under 50%,75%,"Administrative assistance, Performance feedback from another BCBA Supervisor, Monetary compensation",2,1,3,1,1,5,5,3,2,2,2,3,3,3,3,3,3,3,4,3,3,3,2,3,4,4,3,4,4,4,2,3,3,3,3,2,2,3,2,3,3,3,3,2.88
3/8/2018 15:00:56,20,10,Mental health,BCBA-D,Teacher,School,Midwest,University,"Individual fieldwork, Group fieldwork, Intensive practicum","BCBA 8 hours competency-based training, Institution based course work, Conferences or workshops",Greater than 75%,75%,"Protected office planning time, Administrative assistance, Training on supervision practices, Monetary compensation",5,4,3,3,4,3,4,4,4,4,4,4,4,3,3,4,3,5,4,4,4,4,3,5,5,5,3,4,4,3,4,3,5,5,3,3,4,3,2,3,4,3,3,3.74
3/8/2018 16:31:57,8,2,Social Science,BCBA-D,Counselor,Clinic,West,Agency,Group fieldwork,BCBA 8 hours competency-based training,Unknown,Less than 50%,Training on supervision practices,3,2,2,1,1,4,4,1,1,2,3,3,2,3,2,3,4,4,2,3,3,3,1,1,1,3,3,4,4,3,3,3,4,2,3,3,1,3,3,2,4,1,4,2.60
3/8/2018 17:16:19,5,3,Behavior analysis,BCBA-D,Behavior analyst,Home-based,Southeast,Individual private practice,Individual fieldwork,"BCBA 8 hours competency-based training, Conferences or workshops",50 - 75%,50%,Protected office planning time,3,3,2,3,3,5,5,5,4,3,4,4,2,3,3,4,3,4,4,3,3,2,2,5,5,5,4,5,4,5,4,4,3,3,4,3,3,4,3,3,4,4,2,3.58
3/8/2018 17:30:01,5,5,Psychology,BCBA,Psychologist,Clinic,Northeast,Individual private practice,Individual fieldwork,BCBA 8 hours competency-based training,50 - 75%,50%,"Protected office planning time, Administrative assistance",3,3,4,4,4,5,4,2,3,3,3,4,2,3,3,3,2,3,3,3,3,3,4,4,3,2,3,3,3,3,3,3,3,3,4,2,4,3,3,4,4,2,2,3.14
3/8/2018 17:57:04,1,1,Education,BCBA-D,Behavior analyst,Clinic,West,Individual private practice,"Individual fieldwork, Group fieldwork",BCBA 8 hours competency-based training,Unknown,Less than 50%,Protected office planning time,2,2,2,4,3,4,3,2,3,3,3,2,2,2,2,2,3,3,2,3,2,3,1,1,3,3,1,3,2,3,3,3,2,2,3,3,2,3,1,2,2,3,4,2.49